Rate per 100,000 population	Incidents Recorded	Lga Erp	Police Regions	Local Government Area	Number of Records	Offence Division	Offence Subdivision	Offence Subgroup	Year ending March
15.836609265	2	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A10 Homicide and related offences	A10 Homicide and related offences	2018
55.428132428	7	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A20 Assault and related offences	A211 FV Serious assault	2018
87.101350958	11	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A20 Assault and related offences	A212 Non-FV Serious assault	2018
142.529483386	18	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A20 Assault and related offences	A231 FV Common assault	2018
87.101350958	11	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A20 Assault and related offences	A232 Non-FV Common assault	2018
205.875920446	26	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A30 Sexual offences	A30 Sexual offences	2018
23.754913898	3	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	A731 FV Threatening behaviour	2018
39.591523163	5	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	A732 Non-FV Threatening behaviour	2018
7.918304633	1	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	A83 Throw or discharge object endangering people	2018
23.754913898	3	12628.966002249	Eastern Region	ALPINE	1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	A89 Other dangerous or negligent acts endangering people	2018
15.836609265	2	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B10 Arson	B19 Other fire related offences	2018
229.630834344	29	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B20 Property damage	B21 Criminal damage	2018
23.754913898	3	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B20 Property damage	B22 Graffiti	2018
118.774569488	15	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B30 Burglary/Break and enter	B321 Residential non-aggravated burglary	2018
63.346437060	8	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B30 Burglary/Break and enter	B322 Non-residential non-aggravated burglary	2018
31.673218530	4	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B41 Motor vehicle theft	2018
71.264741693	9	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B42 Steal from a motor vehicle	2018
95.019655591	12	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B43 Steal from a retail store	2018
63.346437060	8	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B44 Theft of a bicycle	2018
55.428132428	7	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B45 Receiving or handling stolen goods	2018
253.385748242	32	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B40 Theft	B49 Other theft	2018
23.754913898	3	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B50 Deception	B51 Forgery and counterfeiting	2018
55.428132428	7	12628.966002249	Eastern Region	ALPINE	1	B Property and deception offences	B50 Deception	B53 Obtain benefit by deception	2018
39.591523163	5	12628.966002249	Eastern Region	ALPINE	1	C Drug offences	C10 Drug dealing and trafficking	C12 Drug trafficking	2018
15.836609265	2	12628.966002249	Eastern Region	ALPINE	1	C Drug offences	C20 Cultivate or manufacture drugs	C21 Cultivate drugs	2018
23.754913898	3	12628.966002249	Eastern Region	ALPINE	1	C Drug offences	C30 Drug use and possession	C31 Drug use	2018
87.101350958	11	12628.966002249	Eastern Region	ALPINE	1	C Drug offences	C30 Drug use and possession	C32 Drug possession	2018
55.428132428	7	12628.966002249	Eastern Region	ALPINE	1	D Public order and security offences	D10 Weapons and explosives offences	D11 Firearms offences	2018
31.673218530	4	12628.966002249	Eastern Region	ALPINE	1	D Public order and security offences	D10 Weapons and explosives offences	D12 Prohibited and controlled weapons offences	2018
7.918304633	1	12628.966002249	Eastern Region	ALPINE	1	D Public order and security offences	D20 Disorderly and offensive conduct	D21 Riot and affray	2018
71.264741693	9	12628.966002249	Eastern Region	ALPINE	1	D Public order and security offences	D20 Disorderly and offensive conduct	D22 Drunk and disorderly in public	2018
