local_government_area	rate_per_100000_population	latitude	longitude	incidents_recorded
YARRIAMBIACK	5435.755802314	-36.0263	142.3885	359
YARRA RANGES	3491.633938585	-37.75	145.7239	5529
YARRA	10852.552451170	-37.8048	144.9868	10664
WYNDHAM	4239.379174574	-37.8934	144.6296	10878
WODONGA	5739.613519804	-36.1451	146.9108	2381
WHITTLESEA	5085.970471705	-37.5509	145.0622	11354
WHITEHORSE	3692.339276194	-37.8336	145.156	6517
WEST WIMMERA	3000.234231801	-36.5929	141.4002	115
WELLINGTON	6058.293723941	-37.9117	146.8803	2670
WARRNAMBOOL	7787.066593426	-38.3777	142.502	2718
WANGARATTA	6211.932290101	-36.6165	146.4315	1804
TOWONG	2875.307543655	-36.3659	147.6027	172
SWAN HILL	8419.840977169	-35.1004	143.0211	1756
SURF COAST	2941.551685617	-38.3398	144.0973	946
STRATHBOGIE	4174.342071246	-36.7224	145.3746	441
STONNINGTON	6900.644220935	-37.8616	145.0394	8014
SOUTHERN GRAMPIANS	6311.672832090	-37.5312	141.958	1007
SOUTH GIPPSLAND	3445.152604354	-38.6978	146.0096	1013
QUEENSCLIFFE	3597.817204155	-38.2752	144.6166	108
PYRENEES	4195.636150309	-37.326	143.4243	310
PORT PHILLIP	8696.670806860	-37.8586	144.9829	9807
NORTHERN GRAMPIANS	7018.709273585	-36.8503	143.0224	803
NILLUMBIK	2766.032530461	-37.6143	145.2456	1797
MURRINDINDI	3737.617936160	-37.2809	145.6093	535
MOYNE	2796.312259775	-38.1862	142.3722	470
MOUNT ALEXANDER	3811.439710825	-37.0762	144.2752	741
MORNINGTON PENINSULA	5168.935988712	-38.3311	145.0821	8545
MORELAND	6113.228795827	-37.7355	144.9558	11045
MOORABOOL	5308.090896621	-37.6341	144.2164	1827
MOONEE VALLEY	5227.854615633	-37.7492	144.8876	6719
MONASH	4148.853662811	-37.8965	145.1412	8310
MOIRA	5089.715738908	-36.0501	145.5808	1507
MITCHELL	6903.639843245	-37.1726	144.9765	3048
MILDURA	8723.097663388	-34.8654	141.8006	4843
MELTON	5029.080635254	-37.6824	144.6359	7813
MELBOURNE	15502.712184421	-37.8116	144.9484	27003
MAROONDAH	4999.572252534	-37.8043	145.2612	5902
MARIBYRNONG	7107.379543262	-37.7908	144.8743	6587
MANSFIELD	5100.871352242	-37.2421	146.3126	453
MANNINGHAM	2894.869841426	-37.7577	145.185	3672
MACEDON RANGES	3521.140953845	-37.333	144.6347	1740
LODDON	4202.976625787	-36.3998	143.8945	315
LATROBE	12537.347363532	-38.2537	146.4552	9400
KNOX	5215.011617836	-37.8981	145.2642	8542
KINGSTON	4843.072830148	-38.0038	145.1106	7924
INDIGO	2084.910580370	-36.2089	146.6609	341
HUME	6777.302156992	-37.5971	144.8235	15317
HORSHAM	8288.928589454	-36.8279	142.1088	1651
HOBSONS BAY	5017.566085422	-37.8565	144.8365	4835
HINDMARSH	4517.242166568	-36.0285	141.7125	254
HEPBURN	4036.463610549	-37.314	144	640
GREATER SHEPPARTON	9033.364449307	-36.4275	145.3781	5988
GREATER GEELONG	6748.134623053	-38.0512	144.3879	16928
GREATER DANDENONG	8167.375844663	-38.0022	145.1912	13648
GREATER BENDIGO	6138.661868217	-36.7237	144.2902	7106
GOLDEN PLAINS	2096.300415605	-37.853	143.839	482
GLENELG	6127.257219600	-37.891	141.3503	1203
GLEN EIRA	3405.171708251	-37.899	145.041	5246
GANNAWARRA	3983.770045009	-35.732	143.8004	420
FRANKSTON	7571.397708947	-38.1352	145.1745	10747
EAST GIPPSLAND	6599.697765383	-37.3568	148.5201	3074
DAREBIN	7107.757853126	-37.7396	145.0069	11441
CORANGAMITE	3894.506299890	-38.2137	143.1285	623
COLAC-OTWAY	5815.589342397	-38.4326	143.5582	1249
CENTRAL GOLDFIELDS	6936.017111434	-36.9796	143.7055	911
CASEY	4338.278258892	-38.096	145.3139	14787
CARDINIA	3966.411809321	-38.096	145.5677	4289
CAMPASPE	6711.889351197	-36.3059	144.716	2520
BULOKE	2779.193923593	-35.8476	142.9926	169
BRIMBANK	6452.281916084	-37.7427	144.8055	13570
BOROONDARA	3107.996578971	-37.8272	145.0612	5639
BENALLA	7068.666890884	-36.5933	146.0311	988
BAYSIDE	3712.022463114	-37.9392	145.0176	3901
BAW BAW	5667.182368963	-37.9698	146.1069	2934
BASS COAST	5136.376354828	-38.4854	145.5539	1799
BANYULE	5631.588331762	-37.7329	145.0873	7371
BALLARAT	8311.938285056	-37.5197	143.7675	8930
ARARAT	7809.809498069	-37.49	142.7959	919
ALPINE	2533.857482418	-36.835	146.9875	320
